,ratio_d,ratio_pitch,ratio_top_diameter
0,0.004,0.25,0.0
1,0.03849999999999999,0.875,0.4
2,0.055749999999999994,0.5625,0.2
3,0.021249999999999998,1.1875,0.6000000000000001
4,0.029874999999999995,0.71875,0.5
5,0.06437499999999999,1.34375,0.1
6,0.047125,0.40625,0.7000000000000001
7,0.012624999999999999,1.03125,0.30000000000000004
8,0.016937499999999998,0.640625,0.75
9,0.0514375,1.265625,0.35000000000000003
10,0.0686875,0.328125,0.55
11,0.034187499999999996,0.953125,0.15000000000000002
12,0.0255625,0.484375,0.25
13,0.06006249999999999,1.109375,0.65
14,0.04281249999999999,0.796875,0.05
15,0.0083125,1.421875,0.45
16,0.010468749999999999,0.8359375,0.375
17,0.04496875,1.4609375,0.775
18,0.06221874999999999,0.5234375,0.17500000000000002
19,0.027718749999999997,1.1484375,0.5750000000000001
20,0.036343749999999994,0.3671875,0.675
21,0.07084375,0.9921875,0.275
22,0.053593749999999996,0.6796875,0.47500000000000003
23,0.01909375,1.3046875,0.07500000000000001
24,0.01478125,0.4453125,0.42500000000000004
25,0.04928125,1.0703125,0.025
26,0.06653125,0.7578125,0.625
27,0.03203125,1.3828125,0.225
28,0.023406249999999997,0.6015625,0.125
29,0.05790624999999999,1.2265625,0.525
30,0.04065624999999999,0.2890625,0.325
31,0.00615625,0.9140625,0.7250000000000001
32,0.0072343749999999995,0.58203125,0.5625
33,0.04173437499999999,1.20703125,0.1625
34,0.05898437499999999,0.26953125,0.7625000000000001
35,0.024484375,0.89453125,0.36250000000000004
36,0.033109374999999996,0.42578125,0.0625
37,0.067609375,1.05078125,0.4625
38,0.050359375,0.73828125,0.2625
39,0.015859375,1.36328125,0.6625000000000001
40,0.020171875,0.34765625,0.21250000000000002
41,0.054671874999999995,0.97265625,0.6125
42,0.071921875,0.66015625,0.0125
43,0.03742187499999999,1.28515625,0.41250000000000003
44,0.028796874999999996,0.81640625,0.7125
45,0.06329687499999999,1.44140625,0.3125
46,0.046046875,0.50390625,0.5125000000000001
47,0.011546874999999998,1.12890625,0.1125
48,0.009390625,0.54296875,0.6375000000000001
49,0.04389062499999999,1.16796875,0.23750000000000002
50,0.06114062499999999,0.85546875,0.4375
51,0.026640624999999998,1.48046875,0.037500000000000006
52,0.035265624999999995,0.69921875,0.3375
53,0.069765625,1.32421875,0.7375
54,0.052515624999999996,0.38671875,0.1375
55,0.018015625,1.01171875,0.5375
56,0.013703124999999998,0.77734375,0.1875
57,0.048203125,1.40234375,0.5875
58,0.06545312499999999,0.46484375,0.3875
59,0.030953124999999998,1.08984375,0.7875000000000001
60,0.022328124999999997,0.30859375,0.48750000000000004
61,0.05682812499999999,0.93359375,0.08750000000000001
62,0.03957812499999999,0.62109375,0.6875
63,0.005078125,1.24609375,0.28750000000000003
64,0.0056171875,0.748046875,0.65625
65,0.0401171875,1.373046875,0.25625000000000003
66,0.0573671875,0.435546875,0.45625000000000004
67,0.022867187499999997,1.060546875,0.05625
68,0.0314921875,0.279296875,0.35625
69,0.0659921875,0.904296875,0.7562500000000001
70,0.04874218749999999,0.591796875,0.15625
71,0.0142421875,1.216796875,0.55625
72,0.0185546875,0.513671875,0.10625000000000001
73,0.05305468749999999,1.138671875,0.50625
74,0.07030468749999999,0.826171875,0.30625
75,0.0358046875,1.451171875,0.70625
76,0.027179687499999997,0.669921875,0.40625
77,0.0616796875,1.294921875,0.00625
78,0.044429687499999995,0.357421875,0.6062500000000001
79,0.0099296875,0.982421875,0.20625000000000002
80,0.0120859375,0.396484375,0.53125
81,0.046585937499999994,1.021484375,0.13125
82,0.0638359375,0.708984375,0.7312500000000001
83,0.029335937499999996,1.333984375,0.33125000000000004
84,0.0379609375,0.865234375,0.03125
85,0.07246093749999999,1.490234375,0.43125
86,0.05521093749999999,0.552734375,0.23125
87,0.0207109375,1.177734375,0.6312500000000001
88,0.016398437499999998,0.630859375,0.28125
89,0.05089843749999999,1.255859375,0.68125
90,0.06814843749999999,0.318359375,0.08125
91,0.033648437499999996,0.943359375,0.48125
92,0.0250234375,0.474609375,0.78125
93,0.0595234375,1.099609375,0.38125000000000003
94,0.0422734375,0.787109375,0.58125
95,0.007773437499999999,1.412109375,0.18125000000000002
96,0.0066953125,0.416015625,0.31875000000000003
97,0.0411953125,1.041015625,0.71875
98,0.0584453125,0.728515625,0.11875000000000001
99,0.023945312499999996,1.353515625,0.51875
100,0.0325703125,0.572265625,0.61875
101,0.06707031249999999,1.197265625,0.21875
102,0.04982031249999999,0.259765625,0.41875
103,0.015320312499999999,0.884765625,0.018750000000000003
104,0.0196328125,0.806640625,0.46875
105,0.05413281249999999,1.431640625,0.06875
106,0.07138281249999999,0.494140625,0.6687500000000001
107,0.0368828125,1.119140625,0.26875
108,0.028257812499999996,0.337890625,0.16875
109,0.0627578125,0.962890625,0.56875
110,0.045507812499999994,0.650390625,0.36875
111,0.011007812499999999,1.275390625,0.76875
112,0.0088515625,0.689453125,0.09375
113,0.043351562499999996,1.314453125,0.49375
114,0.0606015625,0.376953125,0.29375
115,0.026101562499999998,1.001953125,0.6937500000000001
116,0.034726562499999995,0.533203125,0.59375
117,0.06922656249999999,1.158203125,0.19375
118,0.05197656249999999,0.845703125,0.7937500000000001
119,0.0174765625,1.470703125,0.39375000000000004
120,0.013164062499999999,0.298828125,0.74375
121,0.04766406249999999,0.923828125,0.34375
122,0.0649140625,0.611328125,0.5437500000000001
123,0.0304140625,1.236328125,0.14375000000000002
124,0.021789062499999998,0.767578125,0.24375000000000002
125,0.0562890625,1.392578125,0.64375
126,0.0390390625,0.455078125,0.043750000000000004
127,0.0045390625,1.080078125,0.44375000000000003
128,0.0048085937499999995,0.6650390625,0.234375
129,0.039308593749999995,1.2900390625,0.634375
130,0.05655859375,0.3525390625,0.034375
131,0.022058593749999997,0.9775390625,0.434375
132,0.030683593749999998,0.5087890625,0.734375
133,0.06518359374999999,1.1337890625,0.33437500000000003
134,0.04793359374999999,0.8212890625,0.534375
135,0.013433593749999998,1.4462890625,0.134375
136,0.017746093749999997,0.2744140625,0.584375
137,0.05224609375,0.8994140625,0.184375
138,0.06949609375,0.5869140625,0.784375
139,0.03499609375,1.2119140625,0.384375
140,0.026371093749999998,0.7431640625,0.084375
141,0.060871093749999994,1.3681640625,0.484375
142,0.04362109374999999,0.4306640625,0.284375
143,0.00912109375,1.0556640625,0.6843750000000001
144,0.011277343749999998,0.4697265625,0.15937500000000002
145,0.04577734374999999,1.0947265625,0.5593750000000001
146,0.06302734374999999,0.7822265625,0.359375
147,0.028527343749999996,1.4072265625,0.759375
148,0.03715234375,0.6259765625,0.45937500000000003
149,0.07165234375,1.2509765625,0.059375000000000004
150,0.05440234375,0.3134765625,0.659375
151,0.01990234375,0.9384765625,0.259375
152,0.015589843749999999,0.8603515625,0.609375
153,0.05008984375,1.4853515625,0.209375
154,0.06733984375,0.5478515625,0.40937500000000004
155,0.03283984375,1.1728515625,0.009375000000000001
156,0.02421484375,0.3916015625,0.309375
157,0.058714843749999995,1.0166015625,0.7093750000000001
158,0.041464843749999994,0.7041015625,0.109375
159,0.00696484375,1.3291015625,0.509375
160,0.00804296875,0.3330078125,0.796875
161,0.04254296874999999,0.9580078125,0.39687500000000003
162,0.059792968749999995,0.6455078125,0.596875
163,0.02529296875,1.2705078125,0.19687500000000002
164,0.03391796875,0.8017578125,0.296875
165,0.06841796875,1.4267578125,0.696875
166,0.05116796875,0.4892578125,0.096875
167,0.016667968749999998,1.1142578125,0.496875
168,0.020980468749999998,0.5673828125,0.046875
169,0.05548046875,1.1923828125,0.446875
170,0.07273046875,0.2548828125,0.246875
171,0.038230468749999996,0.8798828125,0.6468750000000001
172,0.029605468749999996,0.4111328125,0.546875
173,0.06410546874999999,1.0361328125,0.146875
174,0.04685546874999999,0.7236328125,0.7468750000000001
175,0.01235546875,1.3486328125,0.34687500000000004
176,0.010199218749999999,0.7626953125,0.421875
177,0.04469921874999999,1.3876953125,0.021875000000000002
178,0.06194921874999999,0.4501953125,0.6218750000000001
179,0.027449218749999997,1.0751953125,0.22187500000000002
180,0.03607421875,0.2939453125,0.12187500000000001
181,0.07057421875,0.9189453125,0.521875
182,0.05332421875,0.6064453125,0.321875
183,0.018824218749999996,1.2314453125,0.721875
184,0.01451171875,0.5283203125,0.371875
185,0.04901171874999999,1.1533203125,0.7718750000000001
186,0.06626171874999999,0.8408203125,0.171875
187,0.03176171875,1.4658203125,0.571875
188,0.023136718749999997,0.6845703125,0.671875
189,0.057636718749999996,1.3095703125,0.27187500000000003
190,0.040386718749999995,0.3720703125,0.47187500000000004
191,0.00588671875,0.9970703125,0.07187500000000001
192,0.00534765625,0.4990234375,0.478125
193,0.03984765625,1.1240234375,0.078125
194,0.05709765624999999,0.8115234375,0.6781250000000001
195,0.022597656249999997,1.4365234375,0.278125
196,0.031222656249999998,0.6552734375,0.178125
197,0.06572265625,1.2802734375,0.578125
198,0.048472656249999996,0.3427734375,0.37812500000000004
199,0.013972656249999998,0.9677734375,0.7781250000000001
200,0.018285156249999997,0.7333984375,0.328125
201,0.05278515624999999,1.3583984375,0.728125
